Unit,Chapter,Unit_Weightage,NCERT Qs,NCERT Exemplar,Others,Confidence,PT1,PT2,Half Yearly,PreBoard I,PreBoard II,Test_count
Literature,Ch 1 A letter to God,26.0,,,,,True,,True,True,True,1
Literature, Ch 2 Nelson Mandela,,,,,,,True,True,True,True,0
Literature,Ch 3 Two stories about flying,,,,,,,True,True,True,True,0
Literature,Ch 4 From the diary of Anne Frank,,,,,,,,True,True,True,0
Literature,Ch 5 Glimpses of India,,,,,,,,True,True,True,0
Literature,Ch 6 Mijbil the Otter,,,,,,,,,True,True,0
Literature,Ch 7 Madam rides the bus,,,,,,,,,True,True,0
Literature,Ch 8 The Sermon at Benares,,,,,,,,,True,True,0
Literature,Ch 9 The Proposal (play),,,,,,,,,True,True,0
Literature,Dust of Snow,,,,,,True,,True,True,True,0
Literature,Fire and Ice,,,,,,True,,True,True,True,0
Literature,A Tiger in the Zoo,,,,,,True,,True,True,True,0
Literature,How to tell Wild Animals,,,,,,,,True,True,True,0
Literature,The Ball Poem,,,,,,,,True,True,True,0
Literature,Amanda,,,,,,,,True,True,True,0
Literature,The Trees,,,,,,,,True,True,True,0
Literature,Fog,,,,,,,,,True,True,0
Literature,The Tale of Custard the Dragon,,,,,,,,,True,True,0
Literature,For Anne Gregory,,,,,,,,,True,True,0
Literature,A triumph of Surgery,,,,,,,,,True,True,0
Literature,The Thief's story,,,,,,,,,True,True,0
Literature,The Midnight visitor,,,,,,,,,True,True,0
Literature,A question of trust,,,,,,,,,True,True,0
Grammar,Determiners,10.0,,,,,,,True,True,True,0
Grammar,Tenses,,,,,,,,True,True,True,0
Grammar,Modals,,,,,,,,True,True,True,0
Grammar,"Subject-verb,concord",,,,,,,,True,True,True,0
Grammar,Reported Speech of commands,,,,,,,True,True,True,True,0
Grammar,Reported Speech of Requests,,,,,,,True,True,True,True,0
Grammar,Statements and questions,,,,,,,True,True,True,True,0
Grammar,Gap filling,,,,,,True,True,True,True,True,0
Grammar,Editing/Transformation of exercises,,,,,,True,True,True,True,True,0
Writing Skills,Letter to the Editor,22.0,,,,,True,,True,True,True,0
Writing Skills,Letter of Enquiry,,,,,,,True,True,True,True,0
Writing Skills,Letter of Placing order,,,,,,,,True,True,True,0
Writing Skills,Complaint letter,,,,,,,,,True,True,0
Writing Skills,Analytical paragraph,,,,,,,,True,True,True,0
Reading,Case based factual paragraph,22.0,,,,,,,True,True,True,0
Reading,Comprehension Passages (Discursive),,,,,,,,True,True,True,0
