Unit_Weightage,Unit,Chapter,NCERT Qs,NCERT Exemplar,Others,Confidence,PT1,PT2,Half Yearly,PreBoard I,PreBoard II,Test_count
6,Number Systems,Real Numbers,,,,,TRUE,,TRUE,TRUE,TRUE,0
20,Algebra,Polynomials,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,0
,Algebra,Graph of Linear Equations in 2 variables,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,0
,Algebra,Linear Equations in 2 variables,,,,,,TRUE,TRUE,TRUE,TRUE,0
,Algebra,Quadratic equations,,,,,,TRUE,TRUE,TRUE,TRUE,0
,Algebra,Arithmetic Progression,,,,,,TRUE,TRUE,TRUE,TRUE,0
6,Coordinate Geometry,Coordinate Geometry,,,,,,,TRUE,TRUE,TRUE,0
12,Trignometry,Introduction to Trignometry,,,,,,,TRUE,TRUE,TRUE,0
,Trignometry,Applications of Trignometry,,,,,,,TRUE,TRUE,TRUE,0
10,Mensuration,Area related to Circles,,,,,,,,TRUE,TRUE,0
,Mensuration,Surface Areas and Volumes,,,,,,,,TRUE,TRUE,0
15,Geometry,Triangles,,,,,,,TRUE,TRUE,TRUE,0
,Geometry,Circles,,,,,,,TRUE,TRUE,TRUE,0
11,Statistics and Probability,Statistics,,,,,,,,TRUE,TRUE,0
,Statistics and Probability,Probability,,,,,,,,TRUE,TRUE,0
