Unit,Chapter,Unit_Weightage,NCERT Qs,NCERT Exemplar,Others,Confidence,PT1,PT2,Half Yearly,PreBoard I,PreBoard II,Test_count
Chemical Substances-Nature and Behaviour,Chemical Reactions and Equations,25.0,,,,,True,True,True,True,True,3
Chemical Substances-Nature and Behaviour,"Acids, Bases and Salts",,,,,,,True,True,True,True,1
Chemical Substances-Nature and Behaviour,Metals and Non Metals,,,,,,,,True,True,True,0
Chemical Substances-Nature and Behaviour,Carbon and its Compounds,,,,,,,,,True,True,0
The World of the Living,Life Processes,25.0,,,,,True,True,True,True,True,4
The World of the Living,Control and Coordination,,,,,,,,True,True,True,0
The World of the Living,How do Organisms Reproduce?,,,,,,,,True,True,True,1
The World of the Living,Heredity,,,,,,,,,True,True,0
Natural Phenomena,Light - Reflection and Refraction,12.0,,,,,True,True,True,True,True,10
Natural Phenomena,The Human Eye and the Colourful Word,,,,,,,,True,True,True,1
Natural resources,Our Environment,5.0,,,,,,,,True,True,0
Effects of Current,Electricity,13.0,,,,,,,True,True,True,0
Effects of Current,Magnetic Effects of Electric Current,,,,,,,,,True,True,0
